,Longitude_A,Latitude_A,Longitude_B,Latitude_B
0,12.57300622564721,55.684251961218465,12.62868626492269,55.66085967197817
1,12.575881729790865,55.67081771989976,12.562333647547117,55.671891794892844
2,12.57333350687887,55.7235018104244,12.585859762663052,55.71462937193943
3,12.514672831718087,55.69763667324053,12.509915790298331,55.706307513925246
4,12.513135034962986,55.71773234498586,12.571563982664614,55.63053042903606
5,12.608972035972613,55.665587579374005,12.620252865391107,55.680885877623616
6,12.501845901556202,55.66148756719155,12.56251529010332,55.713942429123655
7,12.557528361079807,55.6654445644731,12.533543552365629,55.64289074205758
8,12.55457382328701,55.66597112730696,12.594473431435286,55.67445318641076
9,12.490330845485595,55.66107340551768,12.58868910459469,55.63762668492843
10,12.488970807722517,55.66526516487831,12.572596229091356,55.71568034978444
11,12.607270921094091,55.68278699133421,12.581717982654013,55.63393012604514
12,12.596598149106736,55.65880066437972,12.567191477291841,55.67550592357661
13,12.585834121626439,55.678390941591736,12.49451781237015,55.70425744344573
14,12.542824242552843,55.63211173521312,12.506363556060318,55.69599451187466
15,12.476123800479307,55.693496316210684,12.590146261503396,55.703108613724226
16,12.573461098971565,55.72120083379045,12.551277344080422,55.66657238577969
17,12.587108515477349,55.68356371717437,12.575122423571054,55.69110078315942
18,12.56181444407003,55.674140098227525,12.53885733216561,55.689696194288075
19,12.470154443646432,55.717755124175014,12.515458002681687,55.70689051853216
20,12.558982046221907,55.64185504225094,12.600081140810719,55.66133794723708
21,12.476360207034482,55.70525015067957,12.514466986109777,55.66028772697331
22,12.516892723984409,55.661733588767895,12.523602149341345,55.644595089537994
23,12.483515520060044,55.66721787965533,12.573077933631646,55.7009781047458
24,12.577308575736376,55.71354184993596,12.613768421011578,55.64434109009749
25,12.571017078147745,55.641159949343816,12.589916181113093,55.670737804865254
26,12.5710552907699,55.72251136360832,12.614835383446348,55.651678423116664
27,12.55520150321049,55.66979788504271,12.596470948248331,55.695311742256756
28,12.470762567233187,55.689351845274366,12.519735810375007,55.701855301688255
29,12.513891069655086,55.711538072244394,12.485006753386456,55.67258340369368
30,12.59844861703547,55.66812145923889,12.505243830571919,55.69752574555249
31,12.470320513581111,55.68974628010873,12.534666601336745,55.715194413447904
32,12.577714324287426,55.68710691562961,12.45992579785627,55.70416554399851
33,12.545355050901339,55.705630517703725,12.5349754327204,55.663503080561505
34,12.487256328287737,55.719700661847185,12.501967240176597,55.64927859355709
35,12.611512673409985,55.66952636752833,12.617289790903339,55.66344356742551
36,12.56734857278438,55.680221245387564,12.589607083173716,55.68464191959241
37,12.537430004742843,55.712789159209656,12.51924080131864,55.71320466246265
38,12.590321023973276,55.6429377565787,12.500744699417098,55.65348574021033
39,12.57743901614622,55.71545668213355,12.557261613415063,55.717116810205304
40,12.49619626296319,55.70909361140457,12.509841974605493,55.6668151827347
41,12.555108588541058,55.69455824364186,12.479595790767434,55.66246359665499
42,12.626845230609684,55.66156327499603,12.518115841570117,55.70060292875675
43,12.573736628739782,55.71443083974736,12.539378895273403,55.65223299562775
44,12.483039795363538,55.690090439019635,12.519172850096501,55.69636838128674
